slot	Channel	Tx	Rx	flowid
5463	20	121	108	6
5601	20	147	143	1
5603	26	143	139	1
5605	22	139	144	1
5607	21	144	109	1
5608	20	144	109	1
5609	25	109	101	1
5611	24	101	121	1
5619	22	121	126	1
5621	21	126	117	1
5623	25	117	146	1
5601	25	144	109	2
5603	24	109	101	2
5604	22	109	101	2
5605	23	101	121	2
5623	26	121	101	2
5625	22	101	109	2
5627	21	109	144	2
5629	25	144	139	2
5631	24	139	143	2
5606	20	105	109	3
5618	23	109	101	3
5628	25	101	121	3
5633	21	121	123	3
5635	25	123	104	3
5601	24	149	117	4
5603	23	117	126	4
5617	23	126	121	4
5639	21	121	101	4
5641	25	101	102	4
5601	22	136	114	5
5603	21	114	119	5
5606	26	119	112	5
5612	25	112	117	5
5614	24	117	126	5
5637	23	126	121	5
5650	22	121	126	5
5652	21	126	117	5
5654	25	117	112	5
5656	24	112	119	5
5658	23	119	114	5
5660	20	114	135	5
5601	23	137	110	6
5604	25	110	112	6
5630	21	112	117	6
5632	25	117	126	6
5654	26	126	121	6
5663	22	121	108	6
5801	22	147	143	1
5803	21	143	139	1
5805	25	139	144	1
5807	24	144	109	1
5809	23	109	101	1
5811	20	101	121	1
5819	25	121	126	1
5821	24	126	117	1
5823	23	117	146	1
5801	23	144	109	2
5803	20	109	101	2
5805	26	101	121	2
5823	21	121	101	2
5825	25	101	109	2
5827	24	109	144	2
5829	23	144	139	2
5831	20	139	143	2
5806	22	105	109	3
5818	26	109	101	3
5828	23	101	121	3
5833	24	121	123	3
5835	23	123	104	3
5801	20	149	117	4
5803	26	117	126	4
5817	26	126	121	4
5827	23	126	121	4
5839	24	121	101	4
5841	23	101	102	4
5801	25	136	114	5
5803	24	114	119	5
5806	21	119	112	5
5812	23	112	117	5
5814	20	117	126	5
5837	26	126	121	5
5850	25	121	126	5
5852	24	126	117	5
5854	23	117	112	5
5856	20	112	119	5
5858	26	119	114	5
5860	22	114	135	5
5801	26	137	110	6
5804	23	110	112	6
5830	24	112	117	6
5832	23	117	126	6
5854	21	126	121	6
5856	25	126	121	6
5863	25	121	108	6
6001	25	147	143	1
6003	24	143	139	1
6005	23	139	144	1
6007	20	144	109	1
6009	26	109	101	1
6011	22	101	121	1
6019	23	121	126	1
6021	20	126	117	1
6023	26	117	146	1
6001	26	144	109	2
6003	22	109	101	2
6004	23	109	101	2
6005	21	101	121	2
6006	20	101	121	2
6023	24	121	101	2
6025	23	101	109	2
6027	20	109	144	2
6029	26	144	139	2
6031	22	139	143	2
6006	25	105	109	3
6018	21	109	101	3
6028	26	101	121	3
6033	20	121	123	3
6035	26	123	104	3
6001	22	149	117	4
6003	21	117	126	4
6017	21	126	121	4
6039	20	121	101	4
6041	26	101	102	4
6001	23	136	114	5
6003	20	114	119	5
6006	24	119	112	5
6012	26	112	117	5
6014	22	117	126	5
6037	21	126	121	5
6050	23	121	126	5
6052	20	126	117	5
6054	26	117	112	5
6056	22	112	119	5
6058	21	119	114	5
6060	25	114	135	5
6001	21	137	110	6
6004	26	110	112	6
6030	20	112	117	6
6032	26	117	126	6
6054	24	126	121	6
6063	23	121	108	6
6201	23	147	143	1
6203	20	143	139	1
6205	26	139	144	1
6207	22	144	109	1
6209	21	109	101	1
6211	25	101	121	1
6219	26	121	126	1
6221	22	126	117	1
6223	21	117	146	1
6201	21	144	109	2
6203	25	109	101	2
6205	24	101	121	2
6223	20	121	101	2
6225	26	101	109	2
6227	22	109	144	2
6229	21	144	139	2
6231	25	139	143	2
6206	23	105	109	3
6218	24	109	101	3
6228	21	101	121	3
6233	22	121	123	3
6235	21	123	104	3
6201	25	149	117	4
6203	24	117	126	4
6217	24	126	121	4
6239	22	121	101	4
6241	21	101	102	4
6242	20	101	102	4
6201	26	136	114	5
6203	22	114	119	5
6206	20	119	112	5
6212	21	112	117	5
6214	25	117	126	5
6237	24	126	121	5
6250	26	121	126	5
6252	22	126	117	5
6253	23	126	117	5
6254	21	117	112	5
6256	25	112	119	5
6258	24	119	114	5
6260	23	114	135	5
6201	24	137	110	6
6204	21	110	112	6
6230	22	112	117	6
6232	21	117	126	6
6254	20	126	121	6
6263	26	121	108	6
6401	26	147	143	1
6403	22	143	139	1
6405	21	139	144	1
6407	25	144	109	1
6409	24	109	101	1
6411	23	101	121	1
6419	21	121	126	1
6421	25	126	117	1
6423	24	117	146	1
6401	24	144	109	2
6403	23	109	101	2
6405	20	101	121	2
6423	22	121	101	2
6425	21	101	109	2
6427	25	109	144	2
6429	24	144	139	2
6431	23	139	143	2
6406	26	105	109	3
6418	20	109	101	3
6428	24	101	121	3
6433	25	121	123	3
6435	24	123	104	3
6401	23	149	117	4
6403	20	117	126	4
6417	20	126	121	4
6439	25	121	101	4
6441	24	101	102	4
6401	21	136	114	5
6403	25	114	119	5
6406	22	119	112	5
6412	24	112	117	5
6414	23	117	126	5
6437	20	126	121	5
6450	21	121	126	5
6452	25	126	117	5
6454	24	117	112	5
6456	23	112	119	5
6458	20	119	114	5
6460	26	114	135	5
6401	20	137	110	6
6404	24	110	112	6
6430	25	112	117	6
6432	24	117	126	6
6454	22	126	121	6
6463	21	121	108	6
