slot	Channel	Tx	Rx	flowid
1254	22	117	112	5
1256	21	112	119	5
1258	25	119	114	5
1260	24	114	135	5
1201	25	137	110	6
1204	22	110	112	6
1230	26	112	117	6
1232	22	117	126	6
1254	23	126	121	6
1263	20	121	108	6
1401	20	147	143	1
1403	26	143	139	1
1405	22	139	144	1
1407	21	144	109	1
1409	25	109	101	1
1411	24	101	121	1
1419	22	121	126	1
1421	21	126	117	1
1423	25	117	146	1
1401	25	144	109	2
1403	24	109	101	2
1405	23	101	121	2
1423	26	121	101	2
1425	22	101	109	2
1427	21	109	144	2
1429	25	144	139	2
1431	24	139	143	2
1406	20	105	109	3
1418	23	109	101	3
1428	25	101	121	3
1433	21	121	123	3
1435	25	123	104	3
1401	24	149	117	4
1403	23	117	126	4
1417	23	126	121	4
1439	21	121	101	4
1441	25	101	102	4
1401	22	136	114	5
1403	21	114	119	5
1406	26	119	112	5
1412	25	112	117	5
1414	24	117	126	5
1437	23	126	121	5
1450	22	121	126	5
1452	21	126	117	5
1454	25	117	112	5
1456	24	112	119	5
1458	23	119	114	5
1460	20	114	135	5
1401	23	137	110	6
1404	25	110	112	6
1430	21	112	117	6
1432	25	117	126	6
1454	26	126	121	6
1463	22	121	108	6
1601	22	147	143	1
1603	21	143	139	1
1605	25	139	144	1
1607	24	144	109	1
1609	23	109	101	1
1611	20	101	121	1
1619	25	121	126	1
1621	24	126	117	1
1623	23	117	146	1
1601	23	144	109	2
1603	20	109	101	2
1605	26	101	121	2
1623	21	121	101	2
1624	20	121	101	2
1625	25	101	109	2
1627	24	109	144	2
1629	23	144	139	2
1631	20	139	143	2
1606	22	105	109	3
1618	26	109	101	3
1628	23	101	121	3
1633	24	121	123	3
1635	23	123	104	3
1601	20	149	117	4
1603	26	117	126	4
1617	26	126	121	4
1639	24	121	101	4
1641	23	101	102	4
1601	25	136	114	5
1603	24	114	119	5
1606	21	119	112	5
1612	23	112	117	5
1614	20	117	126	5
1637	26	126	121	5
1650	25	121	126	5
1652	24	126	117	5
1654	23	117	112	5
1656	20	112	119	5
1658	26	119	114	5
1660	22	114	135	5
1601	26	137	110	6
1604	23	110	112	6
1630	24	112	117	6
1632	23	117	126	6
1654	21	126	121	6
1663	25	121	108	6
1801	25	147	143	1
