source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
115	127	1	31	212	62	68	17462	2018-05-06 22:11:39	40127	1525615899154	1
71	124	0	31	222	105	66	17247	2018-05-06 22:11:39	40124	1525615899224	2
115	127	2	31	212	62	68	17517	2018-05-06 22:11:39	40127	1525615899282	3
71	132	0	31	230	107	68	17234	2018-05-06 22:11:39	40132	1525615899315	4
71	69	0	31	231	105	69	16454	2018-05-06 22:11:39	40069	1525615899349	5
115	127	4	31	212	60	68	17628	2018-05-06 22:11:39	40127	1525615899382	6
71	69	1	31	232	106	69	16507	2018-05-06 22:11:39	40069	1525615899415	7
71	132	1	31	230	106	68	17287	2018-05-06 22:11:39	40132	1525615899449	8
115	64	0	31	209	84	69	17108	2018-05-06 22:11:39	40064	1525615899482	9
71	75	0	31	246	107	67	16459	2018-05-06 22:11:39	40075	1525615899516	10
115	131	0	31	234	107	66	17393	2018-05-06 22:11:39	40131	1525615899549	11
115	121	0	31	231	107	67	17498	2018-05-06 22:11:39	40121	1525615899582	12
115	120	0	31	242	108	69	17386	2018-05-06 22:11:39	40120	1525615899616	13
115	118	0	31	242	108	67	17592	2018-05-06 22:11:39	40118	1525615899649	14
115	121	1	31	231	108	67	17558	2018-05-06 22:11:39	40121	1525615899692	15
115	129	0	31	221	107	68	17664	2018-05-06 22:11:39	40129	1525615899725	16
115	120	1	31	242	108	69	17446	2018-05-06 22:11:39	40120	1525615899758	17
115	131	1	31	235	108	66	17453	2018-05-06 22:11:39	40131	1525615899791	18
115	70	0	31	211	89	68	16715	2018-05-06 22:11:39	40070	1525615899824	19
71	75	1	31	246	107	67	16512	2018-05-06 22:11:39	40075	1525615899858	20
115	118	1	31	241	107	67	17652	2018-05-06 22:11:39	40118	1525615899891	21
115	119	0	31	223	107	68	17383	2018-05-06 22:11:39	40119	1525615899925	22
115	139	0	31	214	102	69	17548	2018-05-06 22:11:39	40139	1525615899958	23
71	132	2	31	230	105	68	17348	2018-05-06 22:11:39	40132	1525615899991	24
71	75	2	31	246	105	67	16572	2018-05-06 22:11:40	40075	1525615900027	25
115	119	1	31	223	107	68	17442	2018-05-06 22:11:40	40119	1525615900058	26
115	64	1	31	209	89	69	17167	2018-05-06 22:11:40	40064	1525615900100	27
71	75	3	31	246	107	67	16626	2018-05-06 22:11:40	40075	1525615900142	28
115	118	2	31	242	106	67	17707	2018-05-06 22:11:40	40118	1525615900183	29
115	123	0	31	225	107	66	17382	2018-05-06 22:11:40	40123	1525615900225	30
115	118	3	31	242	107	67	17763	2018-05-06 22:11:40	40118	1525615900267	31
115	117	0	31	233	108	67	17391	2018-05-06 22:11:40	40117	1525615900333	32
115	120	2	31	242	107	69	17501	2018-05-06 22:11:40	40120	1525615900375	33
115	139	1	31	214	103	69	17608	2018-05-06 22:11:40	40139	1525615900417	34
115	117	1	31	233	108	67	17451	2018-05-06 22:11:40	40117	1525615900459	35
115	139	2	31	213	102	69	17663	2018-05-06 22:11:40	40139	1525615900525	36
115	122	1	31	211	85	67	17461	2018-05-06 22:11:40	40122	1525615900567	37
115	123	1	31	225	107	66	17442	2018-05-06 22:11:40	40123	1525615900609	38
115	64	4	31	209	91	69	17334	2018-05-06 22:11:40	40064	1525615900651	39
115	70	3	31	210	76	68	16886	2018-05-06 22:11:40	40070	1525615900692	40
115	118	4	31	242	108	67	17818	2018-05-06 22:11:40	40118	1525615900727	41
115	120	3	31	242	108	69	17557	2018-05-06 22:11:40	40120	1525615900760	42
115	120	4	31	242	108	69	17613	2018-05-06 22:11:40	40120	1525615900794	43
115	119	2	31	223	107	68	17497	2018-05-06 22:11:40	40119	1525615900827	44
71	75	4	31	246	105	67	16683	2018-05-06 22:11:40	40075	1525615900860	45
115	123	2	31	226	107	66	17497	2018-05-06 22:11:40	40123	1525615900894	46
115	131	2	31	235	108	66	17508	2018-05-06 22:11:40	40131	1525615900927	47
115	129	1	31	221	103	68	17724	2018-05-06 22:11:40	40129	1525615900961	48
50	38	0	31	226	85	69	19610	2018-05-06 22:11:40	40038	1525615900994	49
50	66	6	31	211	59	67	19959	2018-05-06 22:11:41	40066	1525615901027	50
