source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
8	9	0	31	245	107	66	24257	2018-05-06 04:11:32	40009	1525551092246	1
8	9	1	31	243	106	66	24312	2018-05-06 04:11:32	40009	1525551092307	2
8	9	2	31	245	104	66	24367	2018-05-06 04:11:32	40009	1525551092382	3
8	13	0	31	221	105	65	23915	2018-05-06 04:11:32	40013	1525551092440	4
8	9	3	31	245	107	66	24424	2018-05-06 04:11:32	40009	1525551092474	5
8	13	2	31	222	106	65	24024	2018-05-06 04:11:32	40013	1525551092507	6
8	9	4	31	245	107	66	24481	2018-05-06 04:11:32	40009	1525551092607	7
8	9	5	31	245	106	66	24536	2018-05-06 04:11:32	40009	1525551092783	8
8	9	6	31	245	107	66	24595	2018-05-06 04:11:32	40009	1525551092933	9
117	139	4	31	209	63	69	23428	2018-05-06 04:11:33	40139	1525551093050	10
117	119	0	31	224	100	68	23234	2018-05-06 04:11:33	40119	1525551093234	11
117	119	1	31	225	98	68	23293	2018-05-06 04:11:33	40119	1525551093376	12
117	131	0	31	225	98	66	23424	2018-05-06 04:11:33	40131	1525551093510	13
117	131	1	31	225	99	66	23483	2018-05-06 04:11:33	40131	1525551093635	14
117	118	0	31	240	100	67	23218	2018-05-06 04:11:33	40118	1525551093759	15
117	132	5	31	212	67	68	23890	2018-05-06 04:11:33	40132	1525551093861	16
139	66	0	31	218	85	67	24289	2018-05-06 04:11:33	40066	1525551093894	17
117	129	0	31	241	99	68	23617	2018-05-06 04:11:33	40129	1525551093928	18
117	118	1	31	241	100	67	23277	2018-05-06 04:11:33	40118	1525551093961	19
139	66	1	31	218	92	67	24346	2018-05-06 04:11:33	40066	1525551093994	20
8	64	0	31	217	103	69	22308	2018-05-06 04:11:34	40064	1525551094029	21
117	122	6	31	211	68	67	23573	2018-05-06 04:11:34	40122	1525551094062	22
117	118	2	31	241	102	67	23334	2018-05-06 04:11:34	40118	1525551094096	23
8	64	1	31	217	106	69	22363	2018-05-06 04:11:34	40064	1525551094129	24
