source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
115	131	0	31	235	107	66	17405	2018-05-06 04:26:12	40131	1525551972146	1
115	120	0	31	242	108	69	17374	2018-05-06 04:26:12	40120	1525551972231	2
115	123	0	31	225	108	66	17353	2018-05-06 04:26:12	40123	1525551972298	3
115	129	0	31	221	107	68	17410	2018-05-06 04:26:12	40129	1525551972331	4
115	121	0	31	230	107	68	17285	2018-05-06 04:26:12	40121	1525551972364	5
115	118	0	31	242	107	67	17527	2018-05-06 04:26:12	40118	1525551972398	6
115	123	1	31	225	108	66	17413	2018-05-06 04:26:12	40123	1525551972431	7
115	120	1	31	242	108	69	17434	2018-05-06 04:26:12	40120	1525551972465	8
115	121	1	31	229	107	68	17345	2018-05-06 04:26:12	40121	1525551972498	9
115	117	0	31	233	108	67	17342	2018-05-06 04:26:12	40117	1525551972531	10
115	72	0	31	210	64	68	16597	2018-05-06 04:26:12	40072	1525551972565	11
115	120	2	31	242	107	69	17489	2018-05-06 04:26:12	40120	1525551972598	12
115	121	2	31	231	107	68	17400	2018-05-06 04:26:12	40121	1525551972632	13
115	123	2	31	225	108	66	17468	2018-05-06 04:26:12	40123	1525551972707	14
115	122	0	31	210	71	67	18281	2018-05-06 04:26:12	40122	1525551972750	15
115	119	0	31	223	106	68	17403	2018-05-06 04:26:12	40119	1525551972782	16
115	123	3	31	225	105	66	17524	2018-05-06 04:26:12	40123	1525551972815	17
115	121	3	31	231	107	68	17456	2018-05-06 04:26:12	40121	1525551972849	18
115	118	1	31	242	107	67	17587	2018-05-06 04:26:12	40118	1525551972882	19
115	119	1	31	223	107	68	17463	2018-05-06 04:26:12	40119	1525551972915	20
115	120	3	31	242	108	69	17545	2018-05-06 04:26:12	40120	1525551972949	21
115	129	1	31	221	104	68	17469	2018-05-06 04:26:12	40129	1525551972982	22
115	122	2	31	211	77	67	18396	2018-05-06 04:26:13	40122	1525551973015	23
115	131	1	31	235	108	66	17465	2018-05-06 04:26:13	40131	1525551973049	24
115	117	1	31	233	108	67	17401	2018-05-06 04:26:13	40117	1525551973116	25
115	72	4	31	209	60	68	16823	2018-05-06 04:26:13	40072	1525551973149	26
115	117	2	31	233	108	67	17456	2018-05-06 04:26:13	40117	1525551973182	27
115	72	9	31	209	63	68	17117	2018-05-06 04:26:13	40072	1525551973216	28
115	122	4	31	210	59	67	18508	2018-05-06 04:26:13	40122	1525551973249	29
115	120	4	31	242	108	69	17600	2018-05-06 04:26:13	40120	1525551973283	30
115	119	2	31	223	107	68	17518	2018-05-06 04:26:13	40119	1525551973341	31
115	131	2	31	235	108	66	17520	2018-05-06 04:26:13	40131	1525551973374	32
50	77	0	31	229	86	66	17800	2018-05-06 04:26:13	40077	1525551973409	33
115	139	0	31	213	94	69	17212	2018-05-06 04:26:13	40139	1525551973441	34
115	118	2	31	242	107	67	17642	2018-05-06 04:26:13	40118	1525551973475	35
115	122	5	31	211	82	67	18567	2018-05-06 04:26:13	40122	1525551973508	36
50	41	0	31	225	83	67	19119	2018-05-06 04:26:13	40041	1525551973575	37
50	38	0	31	225	84	69	19531	2018-05-06 04:26:13	40038	1525551973608	38
50	47	0	31	223	83	68	19013	2018-05-06 04:26:13	40047	1525551973642	39
115	122	6	31	210	67	67	18625	2018-05-06 04:26:13	40122	1525551973675	40
115	123	4	31	225	108	66	17579	2018-05-06 04:26:13	40123	1525551973708	41
50	53	0	31	239	84	69	18987	2018-05-06 04:26:13	40053	1525551973742	42
115	131	3	31	235	108	66	17576	2018-05-06 04:26:13	40131	1525551973775	43
50	63	0	31	231	82	69	19292	2018-05-06 04:26:13	40063	1525551973809	44
