source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
8	3	2	31	210	69	68	24618	2018-05-06 22:35:51	40003	1525617351378	1
8	3	5	31	210	70	68	24787	2018-05-06 22:35:51	40003	1525617351460	2
8	9	0	31	248	106	65	24147	2018-05-06 22:35:51	40009	1525617351535	3
8	3	7	31	210	76	68	24910	2018-05-06 22:35:51	40003	1525617351577	4
8	9	1	31	248	106	65	24201	2018-05-06 22:35:51	40009	1525617351618	5
8	13	0	31	222	106	69	23782	2018-05-06 22:35:51	40013	1525617351685	6
8	9	2	31	248	106	65	24260	2018-05-06 22:35:51	40009	1525617351727	7
8	3	8	31	210	72	68	24964	2018-05-06 22:35:51	40003	1525617351768	8
8	9	3	31	248	107	65	24315	2018-05-06 22:35:51	40009	1525617351810	9
8	13	2	31	222	104	69	23895	2018-05-06 22:35:51	40013	1525617351852	10
8	9	4	31	248	107	65	24374	2018-05-06 22:35:51	40009	1525617351894	11
8	13	3	31	221	106	69	23950	2018-05-06 22:35:51	40013	1525617351935	12
8	13	5	31	223	78	69	24065	2018-05-06 22:35:51	40013	1525617351977	13
8	13	7	31	222	105	69	24188	2018-05-06 22:35:52	40013	1525617352019	14
8	13	8	31	222	106	69	24241	2018-05-06 22:35:52	40013	1525617352069	15
8	9	5	31	248	105	65	24430	2018-05-06 22:35:52	40009	1525617352131	16
8	9	6	31	248	106	65	24490	2018-05-06 22:35:52	40009	1525617352169	17
8	13	9	31	222	103	69	24300	2018-05-06 22:35:52	40013	1525617352202	18
8	9	7	31	248	107	65	24552	2018-05-06 22:35:52	40009	1525617352236	19
8	9	8	31	248	107	65	24606	2018-05-06 22:35:52	40009	1525617352269	20
8	9	9	31	247	107	65	24665	2018-05-06 22:35:52	40009	1525617352302	21
117	135	0	31	222	96	66	23419	2018-05-06 22:35:52	40135	1525617352354	22
117	135	2	31	222	101	66	23535	2018-05-06 22:35:52	40135	1525617352569	23
8	67	0	31	223	107	68	22362	2018-05-06 22:35:52	40067	1525617352603	24
117	119	0	31	225	100	68	23672	2018-05-06 22:35:52	40119	1525617352636	25
117	135	3	31	222	96	66	23592	2018-05-06 22:35:52	40135	1525617352669	26
117	127	0	31	226	101	68	23467	2018-05-06 22:35:52	40127	1525617352703	27
8	64	0	31	217	106	69	22442	2018-05-06 22:35:52	40064	1525617352770	28
117	135	4	31	222	97	66	23644	2018-05-06 22:35:52	40135	1525617352803	29
117	121	0	31	224	97	68	23460	2018-05-06 22:35:52	40121	1525617352836	30
8	67	1	31	223	105	68	22417	2018-05-06 22:35:52	40067	1525617352870	31
117	131	0	31	225	102	66	23593	2018-05-06 22:35:52	40131	1525617352903	32
117	131	1	31	224	100	66	23652	2018-05-06 22:35:52	40131	1525617352970	33
117	135	5	31	222	101	66	23703	2018-05-06 22:35:53	40135	1525617353003	34
117	118	0	31	241	100	67	23510	2018-05-06 22:35:53	40118	1525617353037	35
117	115	0	31	236	102	68	23446	2018-05-06 22:35:53	40115	1525617353070	36
117	131	2	31	224	100	66	23708	2018-05-06 22:35:53	40131	1525617353104	37
117	123	0	31	229	99	66	23480	2018-05-06 22:35:53	40123	1525617353137	38
117	120	0	31	239	101	69	23459	2018-05-06 22:35:53	40120	1525617353170	39
117	115	1	31	237	102	68	23505	2018-05-06 22:35:53	40115	1525617353204	40
8	67	2	31	223	106	68	22476	2018-05-06 22:35:53	40067	1525617353240	41
117	124	0	31	208	67	66	23808	2018-05-06 22:35:53	40124	1525617353272	42
117	115	2	31	236	101	68	23561	2018-05-06 22:35:53	40115	1525617353305	43
117	127	1	31	226	100	68	23526	2018-05-06 22:35:53	40127	1525617353338	44
117	131	3	31	225	99	66	23765	2018-05-06 22:35:53	40131	1525617353372	45
117	115	3	31	237	103	68	23618	2018-05-06 22:35:53	40115	1525617353405	46
117	123	1	31	230	97	66	23539	2018-05-06 22:35:53	40123	1525617353439	47
117	118	1	31	241	100	67	23568	2018-05-06 22:35:53	40118	1525617353472	48
8	67	3	31	223	104	68	22530	2018-05-06 22:35:53	40067	1525617353505	49
117	123	2	31	229	100	66	23595	2018-05-06 22:35:53	40123	1525617353539	50
117	122	4	31	211	61	67	23764	2018-05-06 22:35:53	40122	1525617353572	51
117	135	6	31	222	94	66	23757	2018-05-06 22:35:53	40135	1525617353606	52
117	131	4	31	225	94	66	23817	2018-05-06 22:35:53	40131	1525617353639	53
117	121	1	31	223	99	68	23519	2018-05-06 22:35:53	40121	1525617353672	54
8	64	1	31	217	100	69	22496	2018-05-06 22:35:53	40064	1525617353706	55
117	124	7	31	209	68	66	24201	2018-05-06 22:35:53	40124	1525617353739	56
117	119	1	31	225	100	68	23731	2018-05-06 22:35:53	40119	1525617353772	57
8	64	2	31	217	105	69	22555	2018-05-06 22:35:53	40064	1525617353806	58
117	120	1	31	239	101	69	23518	2018-05-06 22:35:53	40120	1525617353839	59
139	66	0	31	220	92	67	23811	2018-05-06 22:35:53	40066	1525617353873	60
117	135	7	31	222	100	66	23812	2018-05-06 22:35:53	40135	1525617353906	61
117	120	2	31	237	101	69	23574	2018-05-06 22:35:53	40120	1525617353939	62
117	118	2	31	241	99	67	23625	2018-05-06 22:35:53	40118	1525617353973	63
52	40	0	31	235	108	69	24988	2018-05-06 22:35:54	40040	1525617354040	64
8	67	4	31	223	106	68	22590	2018-05-06 22:35:54	40067	1525617354073	65
52	41	0	31	247	107	67	24987	2018-05-06 22:35:54	40041	1525617354106	66
52	32	0	31	216	100	69	25889	2018-05-06 22:35:54	40032	1525617354140	67
117	118	3	31	241	103	67	23682	2018-05-06 22:35:54	40118	1525617354173	68
117	135	8	31	222	98	66	23867	2018-05-06 22:35:54	40135	1525617354240	69
8	67	6	31	223	104	68	22706	2018-05-06 22:35:54	40067	1525617354273	70
117	127	2	31	226	102	68	23582	2018-05-06 22:35:54	40127	1525617354307	71
117	120	3	31	239	103	69	23631	2018-05-06 22:35:54	40120	1525617354340	72
8	67	7	31	223	106	68	22768	2018-05-06 22:35:54	40067	1525617354373	73
117	127	3	31	226	101	68	23639	2018-05-06 22:35:54	40127	1525617354407	74
9	8	0	31	251	103	68	27010	2018-05-06 22:35:54	40008	1525617354440	75
117	118	4	31	240	102	67	23734	2018-05-06 22:35:54	40118	1525617354474	76
