source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
8	3	0	31	211	82	68	24351	2018-05-06 04:31:53	40003	1525552313884	1
8	9	0	31	245	107	66	24160	2018-05-06 04:31:54	40009	1525552314037	2
8	3	3	31	211	80	68	24517	2018-05-06 04:31:54	40003	1525552314079	3
8	13	0	31	221	106	69	23627	2018-05-06 04:31:54	40013	1525552314112	4
8	3	4	31	211	70	68	24575	2018-05-06 04:31:54	40003	1525552314146	5
8	13	1	31	222	105	69	23682	2018-05-06 04:31:54	40013	1525552314179	6
8	3	6	31	210	84	68	24688	2018-05-06 04:31:54	40003	1525552314212	7
8	9	1	31	245	104	66	24215	2018-05-06 04:31:54	40009	1525552314279	8
8	9	2	31	245	107	66	24270	2018-05-06 04:31:54	40009	1525552314313	9
8	9	3	31	245	107	66	24326	2018-05-06 04:31:54	40009	1525552314346	10
8	3	7	31	211	73	68	24744	2018-05-06 04:31:54	40003	1525552314379	11
8	9	4	31	245	106	66	24384	2018-05-06 04:31:54	40009	1525552314413	12
8	13	2	31	221	105	69	23737	2018-05-06 04:31:54	40013	1525552314480	13
8	3	8	31	210	75	68	24805	2018-05-06 04:31:54	40003	1525552314513	14
8	13	3	31	222	105	69	23794	2018-05-06 04:31:54	40013	1525552314556	15
8	9	5	31	245	106	66	24438	2018-05-06 04:31:54	40009	1525552314588	16
8	13	4	31	222	106	69	23851	2018-05-06 04:31:54	40013	1525552314621	17
8	9	6	31	245	102	66	24497	2018-05-06 04:31:54	40009	1525552314655	18
8	13	5	31	222	104	69	23906	2018-05-06 04:31:54	40013	1525552314688	19
8	9	7	31	245	107	66	24553	2018-05-06 04:31:54	40009	1525552314722	20
8	9	8	31	245	105	66	24614	2018-05-06 04:31:54	40009	1525552314755	21
8	9	9	31	245	107	66	24676	2018-05-06 04:31:54	40009	1525552314788	22
117	139	6	31	210	62	69	23896	2018-05-06 04:31:54	40139	1525552314822	23
117	127	0	31	223	99	68	23434	2018-05-06 04:31:54	40127	1525552314855	24
117	131	0	31	226	100	69	23564	2018-05-06 04:31:54	40131	1525552314889	25
8	64	0	31	217	104	66	22356	2018-05-06 04:31:54	40064	1525552314922	26
8	67	0	31	216	106	67	21845	2018-05-06 04:31:54	40067	1525552314955	27
117	131	1	31	225	94	69	23623	2018-05-06 04:31:54	40131	1525552314989	28
8	67	1	31	216	102	67	21900	2018-05-06 04:31:55	40067	1525552315022	29
117	119	0	31	225	98	67	23517	2018-05-06 04:31:55	40119	1525552315055	30
117	121	0	31	225	96	67	23374	2018-05-06 04:31:55	40121	1525552315089	31
117	123	0	31	227	99	66	23414	2018-05-06 04:31:55	40123	1525552315122	32
8	13	6	31	222	93	69	23965	2018-05-06 04:31:55	40013	1525552315156	33
117	118	0	31	240	101	67	23538	2018-05-06 04:31:55	40118	1525552315189	34
139	117	9	31	211	54	67	24218	2018-05-06 04:31:55	40117	1525552315223	35
117	123	1	31	227	98	66	23473	2018-05-06 04:31:55	40123	1525552315256	36
117	127	1	31	226	97	68	23493	2018-05-06 04:31:55	40127	1525552315289	37
117	129	0	31	240	97	68	23474	2018-05-06 04:31:55	40129	1525552315323	38
117	123	2	31	227	100	66	23529	2018-05-06 04:31:55	40123	1525552315356	39
139	66	0	31	219	94	67	23531	2018-05-06 04:31:55	40066	1525552315390	40
117	121	1	31	223	97	67	23433	2018-05-06 04:31:55	40121	1525552315423	41
117	119	1	31	225	97	67	23576	2018-05-06 04:31:55	40119	1525552315456	42
117	135	0	31	222	100	66	23550	2018-05-06 04:31:55	40135	1525552315490	43
139	124	0	31	220	93	67	23736	2018-05-06 04:31:55	40124	1525552315556	44
117	115	0	31	237	102	68	23413	2018-05-06 04:31:55	40115	1525552315631	45
117	131	2	31	225	93	69	23679	2018-05-06 04:31:55	40131	1525552315666	46
117	121	2	31	225	99	67	23490	2018-05-06 04:31:55	40121	1525552315699	47
117	132	1	31	212	68	68	23502	2018-05-06 04:31:55	40132	1525552315766	48
117	121	3	31	223	95	67	23547	2018-05-06 04:31:55	40121	1525552315800	49
117	118	1	31	241	100	67	23597	2018-05-06 04:31:55	40118	1525552315833	50
139	66	1	31	219	91	67	23588	2018-05-06 04:31:55	40066	1525552315867	51
117	127	2	31	226	100	68	23549	2018-05-06 04:31:55	40127	1525552315900	52
