source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
50	66	1	31	212	76	67	19857	2018-05-06 22:30:25	40066	1525617025765	1
50	44	0	31	226	81	69	19245	2018-05-06 22:30:25	40044	1525617025837	2
50	52	0	31	220	87	67	19027	2018-05-06 22:30:25	40052	1525617025870	3
50	44	1	31	221	86	69	19306	2018-05-06 22:30:25	40044	1525617025937	4
50	43	0	31	241	86	68	19336	2018-05-06 22:30:25	40043	1525617025971	5
50	52	1	31	219	80	67	19089	2018-05-06 22:30:26	40052	1525617026004	6
72	115	0	31	213	64	68	19581	2018-05-06 22:30:26	40115	1525617026037	7
50	52	2	31	222	81	67	19151	2018-05-06 22:30:26	40052	1525617026071	8
72	80	1	31	218	81	67	19543	2018-05-06 22:30:26	40080	1525617026104	9
50	43	1	31	223	83	68	19398	2018-05-06 22:30:26	40043	1525617026171	10
72	115	7	31	213	68	68	19990	2018-05-06 22:30:26	40115	1525617026204	11
50	40	0	31	224	87	69	19015	2018-05-06 22:30:26	40040	1525617026238	12
50	63	0	31	231	85	69	18991	2018-05-06 22:30:26	40063	1525617026271	13
50	70	1	31	213	78	68	19076	2018-05-06 22:30:26	40070	1525617026304	14
50	53	0	31	238	85	69	19221	2018-05-06 22:30:26	40053	1525617026350	15
50	66	5	31	211	58	67	20092	2018-05-06 22:30:26	40066	1525617026380	16
50	39	0	31	218	82	68	19883	2018-05-06 22:30:26	40039	1525617026413	17
50	52	3	31	223	88	67	19209	2018-05-06 22:30:26	40052	1525617026446	18
50	47	0	31	219	83	67	19034	2018-05-06 22:30:26	40047	1525617026480	19
50	77	0	31	237	84	69	18993	2018-05-06 22:30:26	40077	1525617026513	20
72	80	2	31	219	78	67	19598	2018-05-06 22:30:26	40080	1525617026547	21
72	115	8	31	214	65	68	20053	2018-05-06 22:30:26	40115	1525617026580	22
50	39	1	31	216	80	68	19945	2018-05-06 22:30:26	40039	1525617026613	23
50	63	1	31	235	83	69	19052	2018-05-06 22:30:26	40063	1525617026647	24
50	41	1	31	223	86	67	19694	2018-05-06 22:30:26	40041	1525617026680	25
50	40	1	31	223	80	69	19077	2018-05-06 22:30:26	40040	1525617026713	26
72	63	0	31	214	70	69	19088	2018-05-06 22:30:26	40063	1525617026747	27
50	77	1	31	229	84	69	19054	2018-05-06 22:30:26	40077	1525617026780	28
50	41	2	31	226	84	67	19756	2018-05-06 22:30:26	40041	1525617026814	29
50	70	2	31	212	73	68	19139	2018-05-06 22:30:26	40070	1525617026847	30
50	47	1	31	222	85	67	19095	2018-05-06 22:30:26	40047	1525617026880	31
50	52	4	31	222	87	67	19263	2018-05-06 22:30:26	40052	1525617026914	32
72	70	1	31	231	80	68	19171	2018-05-06 22:30:26	40070	1525617026947	33
50	63	2	31	229	84	69	19115	2018-05-06 22:30:26	40063	1525617026981	34
50	52	5	31	219	86	67	19324	2018-05-06 22:30:27	40052	1525617027014	35
50	53	1	31	239	85	69	19283	2018-05-06 22:30:27	40053	1525617027047	36
50	47	2	31	225	84	67	19158	2018-05-06 22:30:27	40047	1525617027081	37
72	70	2	31	231	82	68	19226	2018-05-06 22:30:27	40070	1525617027114	38
50	39	2	31	216	76	68	20008	2018-05-06 22:30:27	40039	1525617027148	39
50	66	7	31	212	76	67	20208	2018-05-06 22:30:27	40066	1525617027214	40
72	80	3	31	219	80	67	19652	2018-05-06 22:30:27	40080	1525617027248	41
50	64	0	31	211	72	69	19817	2018-05-06 22:30:27	40064	1525617027281	42
50	52	6	31	217	82	67	19382	2018-05-06 22:30:27	40052	1525617027315	43
72	80	4	31	219	79	67	19710	2018-05-06 22:30:27	40080	1525617027348	44
50	47	3	31	223	86	67	19216	2018-05-06 22:30:27	40047	1525617027381	45
50	53	2	31	237	85	69	19345	2018-05-06 22:30:27	40053	1525617027448	46
50	38	0	31	225	87	69	19897	2018-05-06 22:30:27	40038	1525617027481	47
50	39	3	31	216	85	68	20066	2018-05-06 22:30:27	40039	1525617027515	48
50	53	3	31	237	86	69	19403	2018-05-06 22:30:27	40053	1525617027548	49
50	64	1	31	218	84	69	19879	2018-05-06 22:30:27	40064	1525617027581	50
50	40	2	31	224	84	69	19139	2018-05-06 22:30:27	40040	1525617027615	51
50	41	3	31	233	88	67	19814	2018-05-06 22:30:27	40041	1525617027650	52
50	77	3	31	232	88	69	19175	2018-05-06 22:30:27	40077	1525617027682	53
50	39	4	31	218	86	68	20119	2018-05-06 22:30:27	40039	1525617027715	54
50	43	2	31	229	84	68	19460	2018-05-06 22:30:27	40043	1525617027748	55
50	52	7	31	216	76	67	19440	2018-05-06 22:30:27	40052	1525617027782	56
72	70	3	31	231	82	68	19281	2018-05-06 22:30:27	40070	1525617027815	57
50	43	3	31	239	88	68	19518	2018-05-06 22:30:27	40043	1525617027849	58
50	39	5	31	219	86	68	20180	2018-05-06 22:30:27	40039	1525617027882	59
50	63	3	31	235	87	69	19173	2018-05-06 22:30:27	40063	1525617027915	60
72	78	0	31	235	79	67	19072	2018-05-06 22:30:27	40078	1525617027949	61
50	43	4	31	247	86	68	19572	2018-05-06 22:30:27	40043	1525617027982	62
72	64	1	31	209	64	69	19974	2018-05-06 22:30:28	40064	1525617028016	63
72	78	1	31	235	80	67	19131	2018-05-06 22:30:28	40078	1525617028049	64
72	80	5	31	219	81	67	19771	2018-05-06 22:30:28	40080	1525617028082	65
50	38	1	31	226	85	69	19959	2018-05-06 22:30:28	40038	1525617028116	66
50	47	4	31	220	84	67	19269	2018-05-06 22:30:28	40047	1525617028149	67
50	47	5	31	222	86	67	19330	2018-05-06 22:30:28	40047	1525617028183	68
50	53	4	31	237	87	69	19457	2018-05-06 22:30:28	40053	1525617028216	69
72	78	2	31	235	79	67	19186	2018-05-06 22:30:28	40078	1525617028249	70
50	77	4	31	233	86	69	19228	2018-05-06 22:30:28	40077	1525617028283	71
50	44	2	31	224	80	69	19369	2018-05-06 22:30:28	40044	1525617028316	72
50	41	4	31	227	82	67	19868	2018-05-06 22:30:28	40041	1525617028350	73
72	70	4	31	231	84	68	19339	2018-05-06 22:30:28	40070	1525617028383	74
50	41	5	31	225	83	67	19928	2018-05-06 22:30:28	40041	1525617028416	75
50	38	2	31	224	82	69	20021	2018-05-06 22:30:28	40038	1525617028450	76
50	41	6	31	222	85	67	19987	2018-05-06 22:30:28	40041	1525617028516	77
50	39	6	31	219	87	68	20238	2018-05-06 22:30:28	40039	1525617028550	78
72	80	8	31	219	82	67	19955	2018-05-06 22:30:28	40080	1525617028583	79
50	47	6	31	222	82	67	19389	2018-05-06 22:30:28	40047	1525617028617	80
