source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
117	135	0	31	222	97	66	23162	2018-05-06 21:54:48	40135	1525614888269	1
8	67	0	31	223	107	68	22036	2018-05-06 21:54:48	40067	1525614888346	2
8	67	1	31	223	105	68	22091	2018-05-06 21:54:48	40067	1525614888379	3
8	64	0	31	218	103	69	22058	2018-05-06 21:54:48	40064	1525614888412	4
117	131	0	31	224	97	66	22970	2018-05-06 21:54:48	40131	1525614888446	5
117	127	0	31	226	95	68	22824	2018-05-06 21:54:48	40127	1525614888479	6
8	67	2	31	223	105	68	22146	2018-05-06 21:54:48	40067	1525614888513	7
117	131	1	31	224	101	66	23029	2018-05-06 21:54:48	40131	1525614888546	8
117	135	2	31	222	98	66	23277	2018-05-06 21:54:48	40135	1525614888579	9
117	127	1	31	224	98	68	22883	2018-05-06 21:54:48	40127	1525614888621	10
117	121	0	31	225	98	68	22858	2018-05-06 21:54:48	40121	1525614888663	11
8	67	3	31	223	107	68	22202	2018-05-06 21:54:48	40067	1525614888704	12
8	64	1	31	218	107	69	22113	2018-05-06 21:54:48	40064	1525614888746	13
117	131	2	31	224	98	66	23085	2018-05-06 21:54:48	40131	1525614888788	14
8	67	4	31	223	106	68	22260	2018-05-06 21:54:48	40067	1525614888839	15
117	135	3	31	222	100	66	23334	2018-05-06 21:54:48	40135	1525614888880	16
117	135	4	31	222	99	66	23387	2018-05-06 21:54:48	40135	1525614888921	17
117	131	4	31	224	96	66	23195	2018-05-06 21:54:48	40131	1525614888963	18
8	67	5	31	223	106	68	22314	2018-05-06 21:54:49	40067	1525614889005	19
117	135	5	31	222	97	66	23445	2018-05-06 21:54:49	40135	1525614889047	20
117	127	2	31	226	99	68	22939	2018-05-06 21:54:49	40127	1525614889088	21
8	64	2	31	218	106	69	22168	2018-05-06 21:54:49	40064	1525614889132	22
117	131	5	31	224	97	66	23254	2018-05-06 21:54:49	40131	1525614889172	23
8	64	3	31	218	106	69	22225	2018-05-06 21:54:49	40064	1525614889213	24
117	121	1	31	225	102	68	22917	2018-05-06 21:54:49	40121	1525614889289	25
117	135	6	31	222	97	66	23499	2018-05-06 21:54:49	40135	1525614889330	26
8	67	6	31	223	107	68	22373	2018-05-06 21:54:49	40067	1525614889372	27
139	66	0	31	221	91	67	23657	2018-05-06 21:54:49	40066	1525614889414	28
117	118	0	31	241	100	67	23059	2018-05-06 21:54:49	40118	1525614889481	29
117	121	2	31	225	101	68	22973	2018-05-06 21:54:49	40121	1525614889514	30
117	119	0	31	225	99	68	23021	2018-05-06 21:54:49	40119	1525614889547	31
117	120	0	31	239	101	69	23000	2018-05-06 21:54:49	40120	1525614889581	32
117	124	0	31	209	70	66	22829	2018-05-06 21:54:49	40124	1525614889614	33
117	123	0	31	230	101	67	22853	2018-05-06 21:54:49	40123	1525614889647	34
117	135	7	31	221	99	66	23555	2018-05-06 21:54:49	40135	1525614889681	35
117	119	1	31	225	97	68	23080	2018-05-06 21:54:49	40119	1525614889714	36
117	118	1	31	243	100	67	23118	2018-05-06 21:54:49	40118	1525614889748	37
117	123	1	31	230	101	67	22912	2018-05-06 21:54:49	40123	1525614889781	38
8	67	7	31	223	104	68	22429	2018-05-06 21:54:49	40067	1525614889814	39
117	119	2	31	225	98	68	23136	2018-05-06 21:54:49	40119	1525614889848	40
8	67	8	31	223	104	68	22490	2018-05-06 21:54:49	40067	1525614889881	41
117	115	0	31	236	99	69	23175	2018-05-06 21:54:49	40115	1525614889915	42
117	120	1	31	238	100	69	23059	2018-05-06 21:54:49	40120	1525614889948	43
139	66	1	31	220	95	67	23714	2018-05-06 21:54:49	40066	1525614889981	44
117	122	0	31	211	69	67	22986	2018-05-06 21:54:50	40122	1525614890015	45
117	129	0	31	241	98	68	22864	2018-05-06 21:54:50	40129	1525614890048	46
117	131	6	31	224	97	66	23307	2018-05-06 21:54:50	40131	1525614890082	47
117	120	2	31	237	100	69	23115	2018-05-06 21:54:50	40120	1525614890115	48
117	129	1	31	240	100	68	22923	2018-05-06 21:54:50	40129	1525614890148	49
117	123	2	31	230	99	67	22968	2018-05-06 21:54:50	40123	1525614890182	50
8	64	4	31	218	107	69	22282	2018-05-06 21:54:50	40064	1525614890215	51
8	67	9	31	223	106	68	22552	2018-05-06 21:54:50	40067	1525614890248	52
117	120	3	31	239	100	69	23173	2018-05-06 21:54:50	40120	1525614890282	53
117	121	3	31	225	99	68	23030	2018-05-06 21:54:50	40121	1525614890315	54
117	121	4	31	225	97	68	23083	2018-05-06 21:54:50	40121	1525614890349	55
117	127	3	31	226	97	68	22996	2018-05-06 21:54:50	40127	1525614890382	56
52	40	0	31	235	108	69	24972	2018-05-06 21:54:50	40040	1525614890415	57
139	132	0	31	242	96	68	23984	2018-05-06 21:54:50	40132	1525614890449	58
52	56	0	31	213	104	68	24880	2018-05-06 21:54:50	40056	1525614890482	59
117	120	4	31	239	103	69	23225	2018-05-06 21:54:50	40120	1525614890549	60
117	124	8	31	209	69	66	23276	2018-05-06 21:54:50	40124	1525614890582	61
139	132	1	31	242	95	68	24041	2018-05-06 21:54:50	40132	1525614890616	62
52	40	1	31	236	108	69	25033	2018-05-06 21:54:50	40040	1525614890649	63
52	41	0	31	243	107	67	24909	2018-05-06 21:54:50	40041	1525614890683	64
9	26	1	31	209	52	66	26184	2018-05-06 21:54:50	40026	1525614890749	65
52	24	0	31	210	91	69	25629	2018-05-06 21:54:50	40024	1525614890783	66
9	39	0	31	218	100	68	26058	2018-05-06 21:54:50	40039	1525614890816	67
117	115	1	31	237	103	69	23234	2018-05-06 21:54:50	40115	1525614890850	68
117	122	6	31	211	63	67	23324	2018-05-06 21:54:50	40122	1525614890883	69
52	40	2	31	236	108	69	25086	2018-05-06 21:54:50	40040	1525614890916	70
52	24	1	31	209	73	69	25689	2018-05-06 21:54:50	40024	1525614890950	71
117	118	2	31	240	101	67	23174	2018-05-06 21:54:50	40118	1525614890983	72
52	56	1	31	212	105	68	24941	2018-05-06 21:54:51	40056	1525614891016	73
117	121	5	31	225	102	68	23142	2018-05-06 21:54:51	40121	1525614891050	74
117	127	4	31	226	100	68	23049	2018-05-06 21:54:51	40127	1525614891083	75
52	50	0	31	224	108	66	24975	2018-05-06 21:54:51	40050	1525614891117	76
52	77	0	31	213	95	69	25269	2018-05-06 21:54:51	40077	1525614891150	77
52	48	0	31	239	108	66	24973	2018-05-06 21:54:51	40048	1525614891183	78
52	44	0	31	217	90	69	24918	2018-05-06 21:54:51	40044	1525614891217	79
117	118	3	31	241	101	67	23231	2018-05-06 21:54:51	40118	1525614891250	80
