source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
8	13	0	31	221	105	69	23909	2018-05-06 22:05:42	40013	1525615542253	1
8	3	2	31	211	78	68	24096	2018-05-06 22:05:42	40003	1525615542335	2
8	9	0	31	247	106	66	24046	2018-05-06 22:05:42	40009	1525615542376	3
8	13	1	31	222	105	69	23964	2018-05-06 22:05:42	40013	1525615542418	4
8	9	1	31	247	106	66	24101	2018-05-06 22:05:42	40009	1525615542460	5
8	13	2	31	222	106	69	24019	2018-05-06 22:05:42	40013	1525615542501	6
8	9	2	31	245	107	66	24155	2018-05-06 22:05:42	40009	1525615542543	7
8	13	3	31	222	105	69	24076	2018-05-06 22:05:42	40013	1525615542585	8
8	9	3	31	247	106	66	24212	2018-05-06 22:05:42	40009	1525615542635	9
117	135	0	31	222	96	66	22961	2018-05-06 22:05:42	40135	1525615542677	10
8	64	0	31	217	107	69	22665	2018-05-06 22:05:42	40064	1525615542718	11
117	119	0	31	225	100	68	23365	2018-05-06 22:05:42	40119	1525615542760	12
8	3	3	31	210	63	68	24152	2018-05-06 22:05:42	40003	1525615542802	13
8	9	4	31	247	105	66	24269	2018-05-06 22:05:42	40009	1525615542844	14
8	3	5	31	210	70	68	24264	2018-05-06 22:05:42	40003	1525615542884	15
8	64	1	31	217	105	69	22720	2018-05-06 22:05:42	40064	1525615542919	16
117	119	1	31	225	95	68	23424	2018-05-06 22:05:42	40119	1525615542952	17
8	13	4	31	221	104	69	24133	2018-05-06 22:05:42	40013	1525615542985	18
117	127	0	31	226	101	68	23041	2018-05-06 22:05:43	40127	1525615543019	19
8	13	5	31	221	105	69	24188	2018-05-06 22:05:43	40013	1525615543052	20
117	121	0	31	224	97	68	22968	2018-05-06 22:05:43	40121	1525615543086	21
8	13	6	31	220	66	69	24247	2018-05-06 22:05:43	40013	1525615543119	22
117	131	0	31	224	99	66	23097	2018-05-06 22:05:43	40131	1525615543152	23
8	13	7	31	220	105	69	24304	2018-05-06 22:05:43	40013	1525615543186	24
117	135	1	31	221	98	66	23020	2018-05-06 22:05:43	40135	1525615543219	25
8	13	8	31	221	105	69	24367	2018-05-06 22:05:43	40013	1525615543253	26
117	119	2	31	225	100	68	23480	2018-05-06 22:05:43	40119	1525615543286	27
117	135	2	31	222	96	66	23076	2018-05-06 22:05:43	40135	1525615543354	28
117	127	1	31	226	99	68	23100	2018-05-06 22:05:43	40127	1525615543387	29
8	9	5	31	248	107	66	24324	2018-05-06 22:05:43	40009	1525615543421	30
117	127	2	31	226	100	68	23156	2018-05-06 22:05:43	40127	1525615543454	31
8	64	2	31	217	106	69	22775	2018-05-06 22:05:43	40064	1525615543488	32
117	122	4	31	211	70	67	23342	2018-05-06 22:05:43	40122	1525615543554	33
117	118	0	31	240	100	67	23391	2018-05-06 22:05:43	40118	1525615543588	34
117	115	0	31	236	101	68	24052	2018-05-06 22:05:43	40115	1525615543621	35
8	13	9	31	222	105	69	24420	2018-05-06 22:05:43	40013	1525615543654	36
117	121	1	31	225	99	68	23027	2018-05-06 22:05:43	40121	1525615543688	37
117	122	9	31	211	69	67	23618	2018-05-06 22:05:43	40122	1525615543721	38
139	66	0	31	221	91	67	24213	2018-05-06 22:05:43	40066	1525615543755	39
117	132	6	31	211	62	68	23424	2018-05-06 22:05:43	40132	1525615543788	40
139	122	0	31	1	94	67	24019	2018-05-06 22:05:43	40122	1525615543821	41
117	121	2	31	225	96	68	23084	2018-05-06 22:05:43	40121	1525615543855	42
139	66	1	31	221	89	67	24270	2018-05-06 22:05:43	40066	1525615543888	43
117	120	0	31	239	102	69	22947	2018-05-06 22:05:43	40120	1525615543922	44
117	121	3	31	225	97	68	23141	2018-05-06 22:05:43	40121	1525615543955	45
117	129	0	31	241	102	68	23011	2018-05-06 22:05:43	40129	1525615543988	46
8	3	8	31	210	63	68	24443	2018-05-06 22:05:44	40003	1525615544022	47
139	122	1	31	0	94	67	24076	2018-05-06 22:05:44	40122	1525615544055	48
117	131	1	31	224	100	66	23156	2018-05-06 22:05:44	40131	1525615544088	49
117	127	3	31	226	102	68	23213	2018-05-06 22:05:44	40127	1525615544122	50
117	135	3	31	222	101	66	23133	2018-05-06 22:05:44	40135	1525615544157	51
139	66	2	31	221	95	67	24328	2018-05-06 22:05:44	40066	1525615544189	52
117	132	9	31	211	65	68	23587	2018-05-06 22:05:44	40132	1525615544222	53
8	67	0	31	222	106	68	22639	2018-05-06 22:05:44	40067	1525615544255	54
117	115	1	31	237	99	68	24111	2018-05-06 22:05:44	40115	1525615544289	55
117	115	2	31	236	101	68	24167	2018-05-06 22:05:44	40115	1525615544322	56
8	3	9	31	210	68	68	24496	2018-05-06 22:05:44	40003	1525615544356	57
117	127	4	31	224	100	68	23266	2018-05-06 22:05:44	40127	1525615544389	58
117	129	1	31	241	101	68	23070	2018-05-06 22:05:44	40129	1525615544422	59
117	124	1	31	209	68	66	23162	2018-05-06 22:05:44	40124	1525615544456	60
