

Time Slot, Channel, Flow ID, Sender, Receiver, RouteID, Hopcount, up/down  
30, 23, 3, 101, 121, 1, 3, 0
30, 22, 5, 125, 126, 5, 2, 0
31, 24, 2, 139, 143, 0, 5, 1
31, 23, 2, 109, 144, 1, 3, 1
31, 22, 3, 101, 108, 3, 1, 0
31, 21, 4, 126, 121, 1, 4, 0
32, 23, 2, 139, 143, 0, 5, 1
32, 22, 2, 105, 144, 2, 3, 1
32, 21, 3, 108, 121, 3, 2, 0
33, 22, 2, 144, 139, 1, 4, 1
33, 21, 3, 121, 123, 0, 1, 1
34, 21, 2, 139, 143, 1, 5, 1
34, 20, 2, 105, 144, 3, 2, 1
34, 26, 3, 121, 123, 0, 1, 1
35, 20, 2, 144, 139, 2, 4, 1
35, 26, 3, 123, 104, 0, 2, 1
35, 25, 3, 121, 103, 1, 1, 1
36, 26, 2, 139, 143, 2, 5, 1
36, 25, 2, 144, 113, 4, 1, 1
36, 24, 3, 123, 104, 0, 2, 1
36, 23, 3, 103, 111, 1, 2, 1
36, 22, 4, 126, 121, 2, 3, 0
37, 25, 2, 144, 139, 3, 3, 1
37, 24, 2, 113, 131, 4, 2, 1
37, 23, 3, 111, 104, 1, 3, 1
37, 22, 3, 123, 103, 2, 1, 1
37, 21, 5, 126, 121, 0, 6, 0
38, 24, 2, 139, 143, 3, 4, 1
38, 23, 2, 131, 141, 4, 3, 1
38, 22, 3, 103, 111, 2, 2, 1
38, 21, 4, 123, 121, 3, 2, 0
39, 23, 2, 141, 143, 4, 4, 1
39, 22, 3, 111, 104, 2, 3, 1
39, 21, 4, 121, 101, 0, 1, 1
40, 22, 2, 139, 141, 5, 1, 1
40, 21, 4, 121, 101, 0, 1, 1
41, 21, 2, 141, 143, 5, 2, 1
41, 20, 4, 101, 102, 0, 2, 1
41, 26, 4, 121, 108, 1, 1, 1
42, 20, 4, 101, 102, 0, 2, 1
42, 26, 5, 126, 121, 0, 6, 0
43, 26, 4, 108, 102, 1, 2, 1
43, 25, 4, 101, 107, 2, 1, 1
43, 24, 5, 126, 121, 1, 6, 0
44, 25, 4, 107, 102, 2, 2, 1
44, 24, 5, 126, 121, 2, 7, 0
45, 24, 5, 126, 121, 3, 4, 0
46, 23, 5, 126, 121, 4, 4, 0
47, 22, 5, 126, 121, 5, 3, 0
48, 21, 5, 126, 123, 6, 1, 0
48, 20, 6, 101, 121, 1, 4, 0
49, 20, 5, 123, 121, 6, 2, 0
50, 26, 5, 121, 126, 0, 1, 1
51, 25, 5, 121, 126, 0, 1, 1
52, 24, 5, 126, 117, 0, 2, 1
52, 23, 5, 121, 133, 1, 1, 1
53, 23, 5, 126, 117, 0, 2, 1
53, 22, 5, 133, 125, 1, 2, 1
54, 22, 5, 117, 112, 0, 3, 1
54, 21, 5, 125, 113, 1, 3, 1
54, 20, 6, 126, 121, 0, 3, 0
55, 21, 5, 117, 112, 0, 3, 1
55, 20, 5, 113, 119, 1, 4, 1
55, 26, 5, 126, 125, 2, 1, 1
55, 25, 6, 133, 121, 2, 2, 0
56, 20, 5, 112, 119, 0, 4, 1
56, 26, 5, 125, 113, 2, 2, 1
56, 25, 6, 126, 121, 0, 3, 0
57, 26, 5, 112, 119, 0, 4, 1
57, 25, 5, 117, 113, 3, 1, 1
57, 24, 6, 126, 123, 3, 1, 0
58, 25, 5, 119, 114, 0, 5, 1
58, 24, 5, 112, 110, 4, 1, 1
58, 23, 6, 123, 121, 3, 2, 0
59, 24, 5, 119, 114, 0, 5, 1
59, 23, 5, 110, 137, 4, 2, 1
59, 22, 6, 121, 108, 0, 1, 1
60, 23, 5, 114, 135, 0, 6, 1
60, 22, 5, 113, 119, 2, 3, 1
60, 21, 6, 121, 108, 0, 1, 1
61, 22, 5, 114, 135, 0, 6, 1
61, 21, 5, 113, 119, 3, 2, 1
61, 20, 6, 121, 101, 1, 1, 1
62, 21, 5, 119, 114, 1, 5, 1
62, 20, 5, 137, 135, 4, 3, 1
62, 26, 6, 101, 108, 1, 2, 1
63, 20, 5, 114, 135, 1, 6, 1
63, 26, 5, 119, 120, 5, 1, 1
64, 26, 5, 119, 114, 2, 4, 1
64, 25, 5, 120, 136, 5, 2, 1
65, 25, 5, 114, 135, 2, 5, 1
66, 24, 5, 119, 114, 3, 3, 1
66, 23, 5, 136, 135, 5, 3, 1
67, 23, 5, 114, 135, 3, 4, 1
68, 22, 5, 114, 136, 6, 1, 1
69, 21, 5, 136, 135, 6, 2, 1
401, 25, 1, 147, 143, 0, 1, 0
401, 24, 2, 144, 109, 0, 1, 0
402, 24, 1, 147, 143, 0, 1, 0
402, 23, 2, 144, 109, 0, 1, 0
403, 23, 1, 143, 139, 0, 2, 0
403, 22, 1, 147, 142, 1, 1, 0
403, 21, 2, 109, 101, 0, 2, 0
403, 20, 2, 144, 127, 1, 1, 0
404, 22, 1, 143, 139, 0, 2, 0
404, 21, 2, 109, 101, 0, 2, 0
404, 20, 2, 127, 102, 1, 2, 0
405, 21, 1, 139, 144, 0, 3, 0
405, 20, 1, 142, 143, 1, 2, 0
405, 26, 2, 101, 121, 0, 3, 0
405, 25, 2, 109, 108, 2, 1, 0
406, 20, 1, 139, 144, 0, 3, 0
406, 26, 1, 143, 141, 2, 1, 0
406, 25, 2, 101, 121, 0, 3, 0
407, 26, 1, 144, 109, 0, 4, 0
407, 25, 1, 143, 139, 1, 3, 0
407, 24, 1, 141, 131, 2, 2, 0
407, 23, 2, 102, 101, 1, 3, 0
407, 22, 2, 108, 121, 2, 2, 0
408, 25, 1, 144, 109, 0, 4, 0
408, 24, 1, 131, 117, 2, 3, 0
408, 23, 1, 139, 141, 3, 1, 0
408, 22, 2, 101, 121, 1, 4, 0
409, 24, 1, 109, 101, 0, 5, 0
409, 23, 1, 139, 144, 1, 4, 0
409, 22, 1, 117, 126, 2, 4, 0
409, 21, 1, 141, 131, 3, 2, 0
410, 23, 1, 109, 101, 0, 5, 0
410, 22, 1, 126, 121, 2, 5, 0
410, 21, 1, 131, 117, 3, 3, 0
410, 20, 1, 144, 127, 4, 1, 0
411, 22, 1, 101, 121, 0, 6, 0
411, 21, 1, 144, 109, 1, 5, 0
411, 20, 1, 117, 126, 3, 4, 0
411, 26, 1, 127, 102, 4, 2, 0
412, 21, 1, 101, 121, 0, 6, 0
412, 20, 1, 109, 108, 5, 1, 0
413, 20, 1, 109, 101, 1, 6, 0
413, 26, 1, 126, 121, 3, 5, 0
414, 26, 1, 101, 121, 1, 7, 0
415, 25, 1, 102, 101, 4, 3, 0
415, 24, 1, 108, 121, 5, 2, 0
416, 24, 1, 101, 121, 4, 4, 0
417, 23, 1, 101, 108, 6, 1, 0
